'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'AcsCycleCount,'AcsCycleTimeoutCount,'AcsCycleOasysCount,'AcsTlmTimeMax,'AcsTlmLast,'AcsTlmAve,'AcsOasysTimeMax,'AcsOasysLast,'AcsOasysAve,'AcsCycleTimeMax,'AcsCycleLast,'AcsCycleAve
2014-02-27 01:52:34,514,446738021698,138867,1882,137632,1912,530,476,10798,432,360,20229,1267,1059
2014-02-27 01:53:34,603,446738081787,138897,1882,137662,1912,532,476,10798,434,360,20229,1358,1059
2014-02-27 01:54:34,637,446738141821,138927,1882,137692,1912,478,476,10798,436,360,20229,1266,1059
2014-02-27 01:55:36,580,446738203764,138958,1882,137723,1912,454,476,10798,437,360,20229,1012,1060
2014-02-27 01:56:42,143,446738269327,138991,1882,137756,1912,492,476,10798,441,360,20229,1066,1060
2014-02-27 01:57:47,933,446738335117,139024,1882,137789,1912,551,476,10798,378,360,20229,1105,1060
2014-02-27 01:58:52,173,446738399357,139056,1882,137821,1912,454,476,10798,340,360,20229,913,1060
2014-02-27 01:59:58,10,446738465194,139089,1882,137854,1912,474,476,10798,409,360,20229,1027,1060
2014-02-27 02:01:02,537,446738529721,139121,1882,137886,1912,453,476,10798,291,360,20229,872,1060
2014-02-27 02:02:08,118,446738595302,139154,1882,137919,1912,485,476,10798,396,360,20229,1013,1060
2014-02-27 02:03:12,643,446738659827,139186,1882,137951,1912,454,476,10798,395,360,20229,976,1060
2014-02-27 02:04:18,83,446738725267,139219,1882,137984,1912,535,476,10798,342,360,20229,1004,1060
2014-02-27 02:05:22,649,446738789833,139251,1882,138016,1912,453,476,10798,400,360,20229,975,1060
2014-02-27 02:06:28,137,446738855321,139284,1882,138049,1912,452,476,10798,339,360,20229,1034,1060
2014-02-27 02:07:33,924,446738921108,139317,1882,138082,1912,579,476,10798,336,360,20229,916,1060
2014-02-27 02:08:38,539,446738985723,139349,1882,138114,1912,454,476,10798,328,360,20229,905,1060
2014-02-27 02:09:43,996,446739051180,139382,1882,138147,1912,478,476,10798,266,360,20229,928,1060
2014-02-27 02:10:49,255,446739116439,139415,1882,138179,1912,454,476,10798,269,360,20229,846,1060
2014-02-27 02:11:54,74,446739181258,139447,1882,138212,1912,452,476,10798,345,360,20229,995,1060
2014-02-27 02:12:59,810,446739246994,139480,1882,138245,1912,580,476,10798,262,360,20229,964,1060
2014-02-27 02:14:04,113,446739311297,139512,1882,138277,1912,453,476,10798,329,360,20229,951,1060
2014-02-27 02:15:09,488,446739376672,139545,1882,138309,1912,455,476,10798,263,360,20229,837,1060
2014-02-27 02:16:14,370,446739441554,139577,1884,138340,1912,453,476,10798,270,360,20229,854,1060
2014-02-27 02:17:19,837,446739507021,139610,1884,138373,1912,460,476,10798,264,360,20229,847,1060
2014-02-27 02:18:24,471,446739571655,139642,1884,138405,1912,454,476,10798,266,360,20229,845,1060
2014-02-27 02:19:29,931,446739637115,139675,1884,138438,1912,461,476,10798,350,360,20229,935,1060
2014-02-27 02:20:34,620,446739701804,139707,1884,138470,1912,484,476,10798,334,360,20229,941,1060
2014-02-27 02:21:40,71,446739767255,139740,1884,138503,1912,455,476,10798,281,360,20229,970,1060
2014-02-27 02:22:45,803,446739832987,139773,1884,138536,1912,542,476,10798,262,360,20229,974,1060
2014-02-27 02:23:50,107,446739897291,139805,1884,138568,1912,453,476,10798,281,360,20229,856,1060
2014-02-27 02:24:55,879,446739963063,139838,1884,138601,1912,598,476,10798,262,360,20229,987,1060
2014-02-27 02:26:00,395,446740027579,139870,1884,138633,1912,452,476,10798,292,360,20229,915,1060
2014-02-27 02:27:05,933,446740093117,139903,1884,138666,1912,470,476,10798,359,360,20229,918,1060
2014-02-27 02:28:10,524,446740157708,139935,1884,138698,1912,453,476,10798,328,360,20229,905,1060
2014-02-27 02:29:16,8,446740223192,139968,1884,138731,1912,454,476,10798,272,360,20229,897,1060
2014-02-27 02:30:21,783,446740288967,140001,1884,138764,1912,480,476,10798,329,360,20229,908,1060
2014-02-27 02:31:26,72,446740353256,140033,1884,138796,1912,454,476,10798,266,360,20229,887,1060
2014-02-27 02:32:31,890,446740419074,140066,1884,138829,1912,561,476,10798,330,360,20229,1062,1060
2014-02-27 02:33:36,432,446740483616,140098,1884,138861,1912,452,476,10798,333,360,20229,914,1060
2014-02-27 02:34:41,927,446740549111,140131,1884,138894,1912,460,476,10798,335,360,20229,1100,1060
2014-02-27 02:35:46,433,446740613617,140163,1884,138926,1912,454,476,10798,329,360,20229,955,1060
2014-02-27 02:36:51,876,446740679060,140196,1884,138959,1912,460,476,10798,266,360,20229,849,1060
2014-02-27 02:37:56,476,446740743660,140228,1884,138991,1912,455,476,10798,330,360,20229,910,1060
2014-02-27 02:39:01,972,446740809156,140261,1884,139024,1912,460,476,10798,350,360,20229,982,1060
2014-02-27 02:40:06,564,446740873748,140293,1884,139056,1912,453,476,10798,289,360,20229,865,1060
2014-02-27 02:41:12,20,446740939204,140326,1884,139089,1912,453,476,10798,334,360,20229,957,1060
2014-02-27 02:42:17,880,446741005064,140359,1884,139122,1912,604,476,10798,331,360,20229,915,1060
2014-02-27 02:43:22,194,446741069378,140391,1884,139154,1912,453,476,10798,265,359,20229,838,1060
2014-02-27 02:44:27,884,446741135068,140424,1884,139187,1912,459,476,10798,263,359,20229,893,1060
2014-02-27 02:45:32,403,446741199587,140456,1884,139219,1912,452,476,10798,264,359,20229,839,1060
2014-02-27 02:46:37,956,446741265140,140489,1884,139252,1912,460,476,10798,330,359,20229,961,1060
2014-02-27 02:47:42,560,446741329744,140521,1884,139284,1912,455,476,10798,263,359,20229,838,1060
2014-02-27 02:48:47,986,446741395170,140554,1884,139317,1912,485,476,10798,263,359,20229,876,1060
2014-02-27 02:49:52,636,446741459820,140586,1884,139349,1912,452,476,10798,331,359,20229,908,1060
2014-02-27 02:50:58,46,446741525230,140619,1884,139382,1912,455,476,10798,262,359,20229,951,1060
2014-02-27 02:52:03,765,446741590949,140652,1884,139415,1912,556,476,10798,263,359,20229,941,1060
2014-02-27 02:53:08,157,446741655341,140684,1884,139447,1912,452,476,10798,395,359,20229,1077,1060
2014-02-27 02:54:13,962,446741721146,140717,1884,139480,1912,612,476,10798,333,359,20229,906,1060
2014-02-27 02:55:18,464,446741785648,140749,1884,139512,1912,454,476,10798,328,359,20229,950,1060
2014-02-27 02:56:23,993,446741851177,140782,1884,139545,1912,456,476,10798,329,359,20229,916,1060
2014-02-27 02:57:28,533,446741915717,140814,1884,139577,1912,455,476,10798,330,359,20229,909,1060
2014-02-27 02:58:34,80,446741981264,140847,1884,139610,1912,480,476,10798,398,359,20229,1006,1060
2014-02-27 02:59:38,627,446742045811,140879,1884,139642,1912,453,476,10798,400,359,20229,973,1060
2014-02-27 03:00:44,218,446742111402,140912,1884,139675,1912,453,476,10798,399,359,20229,1105,1060
2014-02-27 03:01:50,20,446742177204,140945,1884,139708,1912,458,476,10798,402,359,20229,1030,1060
2014-02-27 03:02:54,448,446742241632,140977,1884,139740,1912,453,476,10798,341,359,20229,915,1060
2014-02-27 03:04:00,3,446742307187,141010,1884,139773,1912,475,476,10798,419,359,20229,1020,1060
2014-02-27 03:05:04,508,446742371692,141042,1884,139805,1912,453,476,10798,333,359,20229,911,1060
2014-02-27 03:06:10,81,446742437265,141075,1884,139838,1912,460,476,10798,453,359,20229,1085,1060
2014-02-27 03:07:14,630,446742501814,141107,1884,139870,1912,454,476,10798,432,359,20229,1014,1060
2014-02-27 03:08:20,184,446742567368,141140,1884,139903,1912,454,476,10798,436,359,20229,1108,1060
2014-02-27 03:09:26,11,446742633195,141173,1884,139936,1912,461,476,10798,443,359,20229,1029,1060
2014-02-27 03:10:30,494,446742697678,141205,1884,139968,1912,454,476,10798,432,359,20229,1056,1060
2014-02-27 03:11:36,81,446742763265,141238,1884,140001,1912,462,476,10798,456,359,20229,1090,1060
2014-02-27 03:12:40,670,446742827854,141270,1884,140033,1912,454,476,10798,432,360,20229,1011,1060
2014-02-27 03:13:46,181,446742893365,141303,1884,140066,1912,524,476,10798,434,360,20229,1099,1060
2014-02-27 03:14:50,637,446742957821,141335,1884,140098,1912,433,476,10798,433,360,20229,1012,1060
2014-02-27 03:15:56,201,446743023385,141368,1884,140131,1912,454,476,10798,438,360,20229,1122,1060
2014-02-27 03:17:02,36,446743089220,141401,1884,140164,1912,474,476,10798,455,360,20229,1053,1060
2014-02-27 03:18:06,509,446743153693,141433,1884,140196,1912,453,476,10798,436,360,20229,1011,1060
2014-02-27 03:19:12,179,446743219363,141466,1884,140229,1912,460,476,10798,436,360,20229,1069,1060
2014-02-27 03:20:16,626,446743283810,141498,1884,140261,1912,454,476,10798,432,360,20229,1010,1060
2014-02-27 03:21:22,126,446743349310,141531,1884,140294,1912,488,476,10798,434,360,20229,1054,1060
2014-02-27 03:22:26,644,446743413828,141563,1884,140326,1912,454,476,10798,436,360,20229,1013,1060
2014-02-27 03:23:32,205,446743479389,141596,1884,140359,1912,454,476,10798,438,360,20229,1133,1060
2014-02-27 03:24:38,15,446743545199,141629,1884,140392,1912,463,476,10798,443,360,20229,1032,1060
2014-02-27 03:26:01,470,446743628654,141652,1897,140404,1912,485,476,10798,433,360,20229,1671,1060
2014-02-27 03:27:20,23,446743707207,141670,1915,140406,1912,1217,476,10798,434,360,20229,2049,1060
2014-02-27 03:28:25,486,446743772670,141686,1931,140409,1912,1004,476,10798,1282,360,20229,2044,1061
2014-02-27 03:29:35,106,446743842290,141704,1949,140410,1912,1513,476,10798,447,360,20229,2038,1061
2014-02-27 03:30:35,801,446743902985,141720,1962,140418,1912,522,476,10798,432,360,20229,2064,1061
2014-02-27 03:31:41,196,446743968380,141736,1978,140423,1912,1024,476,10798,443,360,20229,2044,1061
2014-02-27 03:32:49,747,446744036931,141753,1995,140429,1912,1089,476,10798,442,360,20229,2045,1061
2014-02-27 03:33:55,402,446744102586,141769,2011,140431,1912,1020,476,10798,1202,360,20229,2046,1061
2014-02-27 03:35:00,386,446744167570,141785,2026,140436,1912,1008,476,10798,371,360,20229,2032,1061
2014-02-27 03:36:07,474,446744234658,141802,2043,140439,1912,1008,476,10798,438,360,20229,2118,1061
2014-02-27 03:37:09,83,446744296267,141821,2055,140450,1912,478,476,10798,437,360,20229,2169,1062
2014-02-27 03:38:09,203,446744356387,141838,2068,140456,1912,1239,476,10798,329,360,20229,2124,1062
2014-02-27 03:39:16,526,446744423710,141859,2080,140468,1912,604,476,10798,347,360,20229,2045,1062
2014-02-27 03:40:19,775,446744486959,141888,2083,140496,1912,526,476,10798,277,360,20229,866,1062
2014-02-27 03:41:24,350,446744551534,141920,2083,140528,1912,455,476,10798,398,360,20229,974,1062
2014-02-27 03:42:29,841,446744617025,141953,2083,140561,1912,578,476,10798,329,360,20229,916,1062
2014-02-27 03:43:34,466,446744681650,141985,2083,140593,1912,454,476,10798,397,360,20229,972,1062
2014-02-27 03:44:39,997,446744747181,142018,2083,140626,1912,453,476,10798,346,360,20229,1008,1062
2014-02-27 03:45:45,486,446744812670,142051,2083,140658,1912,453,476,10798,347,360,20229,921,1062
2014-02-27 03:46:50,182,446744877366,142083,2084,140690,1912,453,476,10798,343,360,20229,966,1062
2014-02-27 03:47:55,951,446744943135,142116,2084,140723,1912,460,476,10798,333,360,20229,965,1062
2014-02-27 03:49:00,473,446745007657,142148,2084,140755,1912,453,476,10798,263,360,20229,837,1062
2014-02-27 03:50:05,867,446745073051,142181,2084,140788,1912,474,476,10798,267,360,20229,867,1062
