'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'Tx ADC Temperature(°C),'PA Forward Power(V),'PA Reverse Power(V),'PA Control Signal(V),'3V Analog Supply Current PA(mA),'5V Supply(V),'Synthesizer Temperature(°C),'3V Analog Supply Voltage PA(V),'Power Amplifier Temperature(°C),'5V Supply Current(mA),'3V Analog Supply Current CB(mA),'3V VCO Supply Current(mA),'3V Digital Supply Current(mA),'Synthesizer Lock A(V),'Synthesizer Lock B(V),'3V Analog Supply Voltage CB(V),'3V Digital Supply Voltage CB(V)
2014-01-08 11:18:46,917,442451994101,15.75,0.00305175,1.12854,0.0115967,93.7405,4.95606,13.7154,2.95043,8.22227,484.981,147.949,39.7939,9.54822,2.95075,2.93773,2.96752,2.98583
2014-01-08 11:19:47,206,442452054390,16.25,1.70959,1.13464,0.0115967,92.131,4.95362,14.9361,2.95043,8.83262,495.726,148.193,39.9604,9.34065,2.94994,2.93691,2.96752,2.98461
2014-01-08 11:20:48,445,442452115629,17,2.01782,0.676268,0.012207,93.019,4.95606,15.5465,2.94921,9.44298,478.876,150.146,39.7384,9.14529,2.94994,2.93691,2.9663,2.98461
2014-01-08 11:21:48,725,442452175909,17.75,0.0708006,1.13342,0.0115967,92.4085,4.95606,16.1568,2.94921,10.0533,489.865,149.902,39.7384,9.09645,2.94994,2.93691,2.96752,2.98583
2014-01-08 11:22:51,95,442452238279,18.25,0.00305175,1.12426,0.0115967,93.4075,4.95362,16.7672,2.94921,10.0533,481.807,148.926,39.2389,9.46275,2.94994,2.93691,2.9663,2.98583
2014-01-08 08:04:44,459,442440351643,17.125,2.12036,1.12549,0.0115967,93.1855,4.95606,16.1568,2.94921,9.44298,469.841,149.78,39.7384,9.31623,2.94994,2.93691,2.9663,2.98461
2014-01-08 19:12:41,463,442480428647,14.5,0.0036621,1.12549,0.0109863,93.13,4.96339,12.4947,2.95409,10.6637,474.481,147.095,40.0714,9.70695,2.95401,2.94017,2.97118,2.98827
2014-01-08 19:13:42,802,442480489986,15.75,0.951536,1.13952,2.12402,97.1816,4.96095,14.3258,2.95287,11.274,481.562,150.146,39.7384,9.36507,2.95238,2.93935,2.96996,2.98705
2014-01-08 19:14:43,273,442480550457,17,0.0036621,1.12854,0.012207,93.463,4.96095,15.5465,2.95165,11.274,489.133,149.658,39.6829,9.56043,2.95156,2.93854,2.96874,2.98705
2014-01-08 19:15:43,600,442480610784,18.125,0.00305175,1.14258,0.0109863,93.8515,4.9585,16.7672,2.95043,11.274,482.539,149.414,39.7384,9.1575,2.95075,2.93773,2.96874,2.98583
2014-01-08 19:16:44,769,442480671953,19.125,1.24511,1.12182,1.62963,96.1825,4.9585,17.3776,2.95043,11.274,473.748,149.414,39.6829,9.13308,2.95075,2.93773,2.96752,2.98583
2014-01-08 19:17:45,204,442480732388,19.375,2.12341,1.14013,0.012207,93.4075,4.9585,17.9879,2.94921,11.274,493.772,150.757,39.9049,9.43833,2.95075,2.93773,2.96752,2.98583
2014-01-08 19:18:45,559,442480792743,20.125,0.0036621,1.12976,1.68701,96.016,4.95606,18.5983,2.94921,11.274,484.737,148.926,40.2379,9.19413,2.95075,2.93691,2.9663,2.98583
2014-01-08 19:19:46,815,442480853999,21.125,1.98364,1.14258,2.12219,96.2935,4.95606,18.5983,2.94921,10.6637,471.306,150.269,39.6829,9.12087,2.94994,2.93691,2.9663,2.98583
2014-01-08 19:20:47,315,442480914499,20.75,0.0061035,1.12915,0.0115967,93.796,4.95606,18.5983,2.94921,10.6637,483.76,150.757,39.7384,9.13308,2.94994,2.93691,2.9663,2.98583
2014-01-08 19:21:48,794,442480975978,20.625,2.09594,1.13464,2.09045,97.2371,4.95606,18.5983,2.94921,10.6637,477.411,150.879,40.1269,8.97435,2.94994,2.93691,2.9663,2.98461
2014-01-08 19:22:49,173,442481036357,20.75,0.0036621,1.11999,0.0115967,93.5185,4.95606,18.5983,2.94921,10.0533,473.748,149.536,39.9604,9.26739,2.94994,2.93691,2.9663,2.98583
2014-01-08 19:23:49,460,442481096644,20.625,0.0036621,1.12304,0.885618,94.795,4.95606,18.5983,2.94921,10.0533,478.876,149.292,39.6274,9.25518,2.94994,2.93691,2.9663,2.98583
